,avg._session_duration,bounce_rate,content_unique?,design_unique?,listing_type,net_profit,page_views_0,page_views_1,page_views_2,page_views_3,page_views_4,page_views_5,page_views_6,page_views_7,page_views_8,page_views_9,page_visitors_0,page_visitors_1,page_visitors_2,page_visitors_3,page_visitors_4,page_visitors_5,page_visitors_6,page_visitors_7,page_visitors_8,page_visitors_9,pages_/_session,platform,site_age,site_type,starting_price,template_unique?
0,,,,,,"
  —
",,,,,,,,,,,,,,,,,,,,,,"
  —
","
  2 years
","
  eCommerce
",Ended Without a Winner,
0,"
  00:00:23
","
  93.01%
",,,,"
  —
","1,341",956,"1,083","1,573","1,695",660,161,98,0,0,776,675,742,825,994,182,62,10,0,0,"
  1.48
","
  —
","
  9 months
","
  Transactional / Marketplace
",Ended Without a Winner,
0,,,,,,"
  —
",,,,,,,,,,,,,,,,,,,,,,"
  —
","
  1 year
","
  eCommerce
","
    $50 ",
0,,,"
  Yes
","
  Yes
","
  Starter Site
",,,,,,,,,,,,,,,,,,,,,,,"
  —
","
  1 month
","
  eCommerce
",Ended Without a Winner,"
  No
"
0,"
  00:01:40
","
  11.39%
",,,,"
  —
",791,"1,213","2,416","2,118","1,666","1,996",657,951,"1,755","1,430",168,358,648,360,272,315,93,161,270,74,"
  3.17
","
  Wordpress 4.9
","
  1 year
","
  Content
",Ended Without a Winner,
0,"
  00:01:56
","
  37.83%
",,,,"
  —
",80,113,24,14,0,0,0,0,0,0,29,27,10,5,0,0,0,0,0,0,"
  2.57
","
  —
","
  10 months
","
  Services
",Ended Without a Winner,
0,,,,,,"
  —
",,,,,,,,,,,,,,,,,,,,,,"
  —
","
  1 year
","
  Services
",Ended Without a Winner,
0,"
  00:03:31
","
  19.05%
",,,,"
  —
",131,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,"
  1.56
","
  —
","
  1 year
","
  eCommerce
",Ended Without a Winner,
0,,,"
  No
","
  Yes
","
  Starter Site
",,,,,,,,,,,,,,,,,,,,,,,"
  —
","
  2 months
","
  Content
",Ended Without a Winner,"
  No
"
0,,,"
  Yes
","
  Yes
","
  Starter Site
",,,,,,,,,,,,,,,,,,,,,,,"
  —
","
  2 months
","
  eCommerce
","
    $45 ","
  No
"
0,,,,,,"
  —
",,,,,,,,,,,,,,,,,,,,,,"
  —
","
  2 years
","
  Services
",Ended Without a Winner,
0,,,"
  Yes
","
  Yes
","
  Starter Site
",,,,,,,,,,,,,,,,,,,,,,,"
  Wordpress 4.9
","
  1 month
","
  Content
","
    $355 ","
  No
"
0,,,,,,"
  —
",,,,,,,,,,,,,,,,,,,,,,"
  —
","
  4 years
","
  eCommerce
",Ended Without a Winner,
0,,,,,,"
  —
",,,,,,,,,,,,,,,,,,,,,,"
  —
","
  8 months
","
  eCommerce
",Ended Without a Winner,
0,,,,,,"
  —
",,,,,,,,,,,,,,,,,,,,,,"
  Wordpress 4.8
","
  4 years
","
  Content
",Ended Without a Winner,
0,"
  00:00:43
","
  87.72%
",,,,"
  —
",66,97,57,100,136,50,101,38,90,98,53,66,51,86,96,46,95,36,78,77,"
  1.22
","
  —
","
  9 years
","
  Services
",Ended Without a Winner,
0,,,"
  No
","
  No
","
  Starter Site
",,,,,,,,,,,,,,,,,,,,,,,"
  —
","
  6 months
","
  eCommerce
",Ended Without a Winner,"
  No
"
0,,,"
  No
","
  No
","
  Starter Site
",,,,,,,,,,,,,,,,,,,,,,,"
  —
","
  7 months
","
  Transactional / Marketplace
","
    $87 ","
  No
"
